zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
20180,6535,1,5,6,27,10,9,4,4,3,3,3,37,37,14,3.66,7.98,1.55,3.99,1.94,11.28,0.13,2.74,2.47,33.73,5.19,5.69,0.31
20181,7959,9,1,22,39,38,4,2,53,12,12,15,57,46,21,2.01,11.95,2.85,8.69,1.16,7.22,2.29,4.53,4.36,37.09,10.39,7.56,0.60
20184,541,22,1,4,1,51,1,82,1,48,48,31,1,1,1,0.00,6.71,0.00,11.30,0.00,50.61,0.00,7.64,6.88,38.82,0.00,0.00,0.00
20186,14713,20,16,36,67,29,42,42,9,10,10,78,43,44,14,6.13,14.57,9.92,7.27,5.03,29.86,0.45,4.31,4.04,42.38,6.57,6.95,0.31
20187,16511,3,6,2,54,24,10,3,11,18,18,9,24,28,12,4.05,5.56,5.59,6.45,2.09,10.37,0.55,5.15,4.52,36.10,3.17,3.99,0.22
20190,18445,37,41,14,70,13,66,84,63,7,7,89,63,82,79,11.27,10.30,11.13,4.52,7.90,52.75,2.93,3.85,3.13,43.96,13.08,23.89,6.99
20191,29362,25,18,36,67,20,39,49,51,17,17,75,69,83,71,6.70,14.50,9.75,5.80,4.75,32.54,2.17,5.06,3.41,42.16,16.95,25.03,5.11
20194,13635,4,3,3,40,1,16,42,15,3,3,22,40,73,48,3.06,6.26,3.03,1.36,2.69,29.63,0.69,3.05,3.12,37.98,5.90,17.84,2.13
20197,1738,1,1,1,1,1,3,1,1,61,61,1,39,39,38,2.07,4.08,0.00,0.00,0.97,5.83,0.00,8.82,8.65,30.49,5.70,6.04,1.46
20198,2262,25,68,21,51,22,5,41,1,1,1,96,71,67,32,18.35,11.73,4.95,6.06,1.34,29.37,0.00,1.29,1.08,46.02,18.08,14.06,1.14
20202,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20204,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20228,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20230,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20240,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20245,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20307,299,1,1,1,74,10,1,1,1,1,1,1,27,32,1,0.00,0.00,13.38,3.91,0.00,0.00,0.00,0.00,0.00,17.06,3.68,4.68,0.00
20317,482,60,95,1,91,42,100,100,1,1,1,100,5,29,1,33.23,0.00,35.48,9.54,79.50,91.30,0.00,0.00,0.00,85.68,0.83,4.15,0.00
20319,89,1,1,1,1,1,1,1,1,1,1,1,44,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.74,0.00,0.00
20373,141,1,1,1,70,1,1,1,1,1,1,1,31,1,1,0.00,0.00,11.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,0.00,0.00
20390,485,1,1,1,69,1,1,1,1,1,1,1,76,31,1,0.00,0.00,10.93,0.00,0.00,0.00,0.00,0.00,0.00,6.60,22.47,4.54,0.00
20405,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20418,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20427,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20506,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20510,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20520,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20535,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20540,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20551,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20553,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20560,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20565,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20566,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20593,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20601,25028,15,12,52,94,26,7,20,16,25,25,6,31,41,28,5.36,17.44,48.13,6.74,1.72,21.24,0.72,5.75,3.47,35.02,4.25,6.49,0.93
20602,26708,55,49,92,95,32,54,60,35,48,48,83,50,47,36,13.23,31.40,53.50,7.75,6.26,37.29,1.48,7.57,4.88,42.97,8.26,7.65,1.35
20603,31784,20,12,62,96,13,12,27,48,33,33,12,41,48,25,5.42,19.55,55.97,4.48,2.25,24.28,2.00,6.39,4.15,36.63,6.13,8.06,0.80
20606,443,82,75,94,56,88,87,32,65,97,97,100,33,13,1,20.54,33.33,6.09,24.70,13.99,25.91,3.11,17.57,13.19,55.53,4.51,1.81,0.00
